n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,state,metric
1700,0.09076171519896972,5,0.7589693761883746,0.6689071101264688,1,2.366720831588369,0.00010180704860480541,PRUNED,0.008543156605578783
1800,0.02668860701127445,5,0.7629673564181275,0.7016280241295061,4,0.7503895705815502,0.00010025948523399906,COMPLETE,0.01016071873255491
2000,0.013367871273480842,5,0.8581165320998806,0.657090160039986,4,0.2664328166038684,0.0014468944903715552,COMPLETE,0.010256526014412003
2000,0.022714908937251786,5,0.7916247890637038,0.6596306493154576,5,0.2360068170159469,0.00015940527984493165,COMPLETE,0.010264141843449625
1700,0.02577694152793998,3,0.7884209862346213,0.6535814638029781,3,4.747449692916295,0.0003616788956084195,COMPLETE,0.01034166239001562
1100,0.0838375512850209,4,0.7571172192068059,0.7554487413172255,2,2.5002240473339543,0.00063283099528693,COMPLETE,0.01037000592259766
1800,0.024449292983824634,5,0.7491340783908502,0.6829554234304778,1,1.4872923249330992,0.00010350908416177815,COMPLETE,0.01037228987504364
2000,0.019538224940924907,5,0.81141842832402,0.619163172185842,8,0.20783274017455178,0.0006930680535461606,COMPLETE,0.010372420022894483
1800,0.028661087275475748,6,0.6933145661944938,0.7288127400105481,1,0.5508296834377494,0.00021100952400963797,COMPLETE,0.010375435334527923
1700,0.023504680388887682,5,0.7787600610872776,0.5976818924363599,7,0.2139814807787864,0.0017668550892566812,COMPLETE,0.010380997013190838
1700,0.027082478569659913,6,0.6921539470813262,0.7380220061645978,1,0.5133930069211403,0.00025459212906410054,COMPLETE,0.010382584864338764
800,0.04141536110538596,6,0.645614570099021,0.7671117368334277,6,0.4701469243560972,0.005266514841107984,COMPLETE,0.010388972217348713
600,0.05,6,0.8,0.8,5,1.0,0.0001,COMPLETE,0.010424664727105041
1300,0.06803900745073706,3,0.9849549260809971,0.899465584480253,9,0.2620503255096255,0.0007274653135669422,COMPLETE,0.010427394261943938
600,0.07615113073859343,5,0.7425657797813183,0.8425768502138459,6,3.0491073658175933,0.0027042660571537994,COMPLETE,0.010470804799109376
2000,0.01325909298928709,7,0.864825971374941,0.40422062691576893,5,0.25230657389329564,0.0033854127423980753,COMPLETE,0.010497116835935039
1800,0.01410199935484404,6,0.9321486012147254,0.6447094820847902,12,0.16232588288060745,0.010822327661997956,COMPLETE,0.010497140926210048
