fipsCode,elev_mean,elev_std,elev_min,elev_max,elev_range,elev_p90_p10,tri_km,slope_pct,ers_topo_code,ers_pct_water
18085,262.71666666666664,11.990238496753914,240.0,288.0,48.0,31.0,7.266666666666667,0.2872354943200975,2,3.04
18087,279.1,15.832491800413775,253.0,315.0,62.0,40.60000000000002,7.033333333333333,0.4553228650416391,2,1.85
18089,199.05,18.000400183875385,175.0,238.0,63.0,46.5,4.8,0.1882566160193196,2,20.65
18091,222.6,21.587975309558367,175.0,282.0,107.0,51.70000000000002,8.816666666666666,0.2729476824063175,4,2.42
18093,208.58333333333337,30.893634727345805,146.0,265.0,119.0,87.39999999999998,23.233333333333334,1.5216760660702984,14,0.71
18095,268.18333333333334,7.498003500744392,253.0,288.0,35.0,19.19999999999999,4.05,0.2292288938958315,2,0.17
18097,241.53333333333333,18.1168211626529,201.0,281.0,80.0,46.400000000000034,7.45,0.3872733216758489,2,1.66
18099,244.48333333333332,10.375152303013891,218.0,263.0,45.0,24.09999999999999,6.2,0.3238109185509478,4,1.26
18101,189.28333333333333,33.65432032943406,138.0,252.0,114.0,93.1,22.8,1.4819483522548542,14,1.29
18103,240.7,14.358957518460356,198.0,262.0,64.0,35.20000000000002,6.766666666666667,0.2874272962143984,4,0.43
18105,229.31666666666663,31.476378911471553,164.0,292.0,128.0,86.29999999999998,23.25,1.799969384119048,14,4.13
18107,245.95,12.127046393796313,223.0,285.0,62.0,27.40000000000001,6.35,0.3303761439390947,4,0.16
18109,228.43333333333337,26.118612537881003,173.0,284.0,111.0,71.60000000000002,25.066666666666663,1.125836625724277,14,0.71
18111,205.31666666666663,5.037122082107649,197.0,220.0,23.0,12.0,3.55,0.2066903227795032,1,0.42
18113,282.96666666666664,10.14298900663412,264.0,310.0,46.0,24.5,6.683333333333334,0.3756096018983679,4,1.56
18115,227.76666666666668,43.17892088785393,138.0,279.0,141.0,119.40000000000003,22.1,2.5316464981995965,14,0.86
18117,217.88333333333333,32.316806598124224,150.0,280.0,130.0,82.50000000000003,26.1,1.418595730205126,14,2.13
18119,214.53333333333333,28.15782798505876,162.0,287.0,125.0,78.19999999999999,19.5,0.9712683100017578,14,0.68
18121,204.01666666666668,21.632125879268017,143.0,236.0,93.0,58.099999999999994,16.783333333333335,1.0179902912142484,4,1.18
18123,168.28333333333333,33.17395939469547,117.0,232.0,115.0,86.19999999999999,24.083333333333332,1.197056523977389,14,1.28
18125,148.61666666666667,14.326805109052344,122.0,182.0,60.0,39.099999999999994,11.516666666666667,0.5767777581121825,4,1.44
18127,206.26666666666668,19.972749797243164,175.0,257.0,82.0,54.30000000000001,5.633333333333334,0.3834972938339068,4,19.83
18129,122.76666666666668,13.878854378876396,102.0,157.0,55.0,38.0,7.016666666666667,0.5226750266796222,4,2.61
18131,214.68333333333337,6.872918277538117,204.0,235.0,31.0,16.099999999999994,3.566666666666667,0.2356372229785202,1,0.2
18133,241.73333333333332,25.61571727965884,178.0,285.0,107.0,71.1,14.233333333333333,0.7995271270633325,4,0.47
18135,332.03333333333336,23.415891074273897,292.0,374.0,82.0,63.19999999999999,5.733333333333333,0.358741678883019,2,0.08
18137,283.8333333333333,25.966188358192035,190.0,316.0,126.0,37.5,9.083333333333334,0.4766195110253691,4,0.35
18139,299.51666666666665,11.761026800940018,275.0,323.0,48.0,29.30000000000001,5.0,0.3773525457518594,2,0.08
18141,238.33333333333337,16.305002525134206,205.0,271.0,66.0,40.099999999999994,5.383333333333334,0.3135959025698767,4,0.79
18143,189.75,24.107545059867864,162.0,294.0,132.0,45.0,9.133333333333333,0.7548182802517209,4,1.21
18145,239.66666666666663,15.319940109927042,212.0,279.0,67.0,35.49999999999997,5.75,0.2606164453083837,2,0.11
18147,133.91666666666666,16.986826068662904,108.0,182.0,74.0,40.400000000000006,11.25,0.7404444478574556,4,0.63
18149,216.86666666666667,7.1957300584059105,203.0,230.0,27.0,20.0,5.15,0.3344310360069028,1,0.96
18151,308.75,12.707431430439511,284.0,336.0,52.0,33.10000000000002,8.416666666666666,0.6073858523278206,4,4.27
18153,153.86666666666667,14.459137825841022,128.0,186.0,58.0,37.19999999999999,8.066666666666666,0.4247452160055147,4,1.51
18155,234.6,42.778974718500464,142.0,289.0,147.0,117.50000000000004,22.566666666666663,1.4353134505762972,14,1.05
18157,207.73333333333332,21.754303425164508,158.0,252.0,94.0,54.19999999999999,8.6,0.3658914572198617,2,0.65
18159,269.3833333333333,6.689459623654004,260.0,283.0,23.0,19.100000000000023,1.7166666666666666,0.1448131329559766,2,0.01
18161,294.4166666666667,24.372318047441645,227.0,337.0,110.0,55.30000000000001,10.066666666666666,0.9616235764690242,4,2.24
18163,133.05,18.04741870833329,106.0,178.0,72.0,46.400000000000006,10.55,0.6920937484259762,4,0.5
18165,179.96666666666667,16.379986410319756,143.0,205.0,62.0,42.19999999999999,10.916666666666666,0.8984782096455073,4,1.17
18167,167.58333333333334,16.33888122081872,134.0,197.0,63.0,44.30000000000001,6.35,0.3451531670465602,4,1.75
18169,244.15,14.519215788693412,199.0,275.0,76.0,28.19999999999999,8.016666666666667,0.4705552179043389,4,1.88
18171,212.43333333333337,17.953203450200572,164.0,243.0,79.0,41.400000000000006,8.583333333333334,0.4546442124381212,2,0.47
