fipsCode,land_sqmi,lat,lon,population,rucc,pop_density
39045,504.365,39.747694,-82.626685,158921,1.0,315.09125335818305
39047,406.361,39.555246,-83.461893,28951,6.0,71.24453380122601
39049,532.417,39.969875,-83.009086,1323807,1.0,2486.410088333017
39051,405.447,41.597264,-84.124267,42713,2.0,105.34792463626565
39053,466.53,38.817046,-82.301746,29220,6.0,62.63262812680857
39055,400.301,41.499322,-81.173505,95397,1.0,238.3131693400716
39057,413.559,39.687479,-83.894894,167966,2.0,406.14761134445143
39059,522.254,40.056665,-81.497875,38438,6.0,73.60020220046184
39061,405.407,39.196927,-84.544187,830639,1.0,2048.9014743208677
39063,531.325,41.000217,-83.665947,74920,4.0,141.0059756269703
39065,470.285,40.660415,-83.664077,30696,6.0,65.27105903866804
39067,402.331,40.292318,-81.091565,14483,8.0,35.997723267657726
39069,416.01,41.331584,-84.0689,27662,6.0,66.49359390399269
39071,553.084,39.184422,-83.601359,43317,6.0,78.31902568145165
39073,421.349,39.490342,-82.483447,28050,1.0,66.57189170972282
39075,422.612,40.565597,-81.930001,44223,9.0,104.6420830454412
39077,492.243,41.14508,-82.594641,58565,4.0,118.97579041245889
39079,420.31,39.013477,-82.614142,32653,7.0,77.68789702838382
39081,408.124,40.399384,-80.763527,65249,3.0,159.87543001636757
39083,525.499,40.40362,-82.422393,62721,6.0,119.35512722193572
39085,229.27,41.778142,-81.19733,232603,1.0,1014.5374449339207
39087,453.393,38.603866,-82.517186,58240,2.0,128.4536814639838
39089,682.427,40.091505,-82.483435,178519,1.0,261.59428041387577
39091,458.506,40.387553,-83.766343,46150,4.0,100.6529903643573
39093,490.536,41.438805,-82.179722,312964,1.0,638.004142407489
39095,339.663,41.682321,-83.468903,431279,2.0,1269.7261697623821
39097,465.814,39.896607,-83.400885,43824,1.0,94.08046988712232
39099,411.488,41.01088,-80.770396,228614,2.0,555.5787775099152
39101,403.806,40.588034,-83.168803,65359,4.0,161.85742658603388
39103,421.458,41.116174,-81.899764,182470,1.0,432.9494279382524
39105,430.102,39.089807,-82.028397,22210,8.0,51.63891356003925
39107,462.447,40.535333,-84.632059,42528,7.0,91.96297089179949
39109,406.521,40.053326,-84.228413,108774,2.0,267.57289291328124
39111,455.723,39.726253,-81.090983,13385,8.0,29.37091171610825
39113,461.351,39.753736,-84.290591,537309,2.0,1164.642538977915
39115,416.426,39.624946,-81.861697,13802,8.0,33.14394394202091
39117,406.134,40.525266,-82.797729,34950,1.0,86.05534134054277
39119,664.546,39.966046,-81.943506,86410,4.0,130.0286210435395
39121,398.012,39.767232,-81.452493,14115,9.0,35.463754861662466
39123,254.704,41.545495,-83.012613,40364,3.0,158.4741503863308
39125,416.435,41.118948,-84.582125,18806,8.0,45.159508686829874
39127,407.934,39.743187,-82.237952,35408,1.0,86.79835463579893
39129,501.228,39.648947,-83.052827,58539,1.0,116.79116090880797
39131,440.282,39.071341,-83.052911,27088,9.0,61.524204941378486
39133,487.405,41.16897,-81.196962,161791,2.0,331.9436608159539
39135,424.226,39.73881,-84.644758,40999,6.0,96.64424151277856
39137,482.544,41.024533,-84.129879,34451,6.0,71.39452568055971
39139,495.227,40.774159,-82.542781,124936,3.0,252.28026743291463
39141,689.166,39.323895,-83.059538,77093,4.0,111.86419527370764
39143,408.246,41.355319,-83.142776,58896,4.0,144.26595729045724
39145,610.145,38.814889,-82.998675,74008,4.0,121.29575756582452
39147,551.026,41.119992,-83.127547,55069,4.0,99.93902284102748
39149,407.694,40.33668,-84.204142,48230,4.0,118.29950894543457
39151,575.265,40.814131,-81.365667,374853,2.0,651.6179499882663
39153,412.793,41.121847,-81.534928,540428,2.0,1309.1985571460757
39155,618.101,41.306374,-80.7704,201977,2.0,326.770220400873
39157,567.389,40.44749,-81.471105,93263,4.0,164.3722384466389
39159,431.759,40.295901,-83.367042,62784,1.0,145.41445574961958
39161,409.15,40.85552,-84.585775,28931,6.0,70.71000855431994
39163,412.36,39.252042,-82.485961,12800,8.0,31.04083810262877
39165,401.427,39.425663,-84.16994,242337,1.0,603.688840063075
39167,631.974,39.450676,-81.490636,59771,4.0,94.57825796630874
39169,554.789,40.829661,-81.887194,116894,4.0,210.69992375479688
39171,420.66,41.564959,-84.584324,37102,7.0,88.19949603004801
39173,617.162,41.360183,-83.622682,132248,2.0,214.28409396560383
39175,406.879,40.839782,-83.313681,21900,7.0,53.82435564381548
42001,518.69,39.869471,-77.21773,103852,3.0,200.21978445699742
42003,729.954,40.469757,-79.980451,1250578,1.0,1713.2285048098922
42005,653.321,40.81238,-79.464129,65558,1.0,100.34577183344787
42007,434.695,40.68414,-80.350721,168215,1.0,386.97247495370317
42009,1012.241,39.998634,-78.494747,47577,8.0,47.00165276846127
42011,856.403,40.413957,-75.92686,428849,2.0,500.7560692804673
42013,525.276,40.498683,-78.309597,122822,3.0,233.82374218506084
42015,1147.474,41.791504,-76.502123,59967,6.0,52.260007634159905
42017,604.367,40.336887,-75.10706,646538,1.0,1069.777138725311
42019,789.486,40.913847,-79.918978,193763,1.0,245.429304636181
42021,687.51,40.510227,-78.710477,133472,3.0,194.13826707975156
42023,396.233,41.438291,-78.198323,4547,9.0,11.475571191697814
42025,381.324,40.918367,-75.705039,64749,2.0,169.8004846272461
42027,1108.708,40.909128,-77.847877,158172,3.0,142.66335229835087
42029,750.546,39.974029,-75.749751,534413,1.0,712.0323071470635
42031,600.835,41.198159,-79.420369,37241,6.0,61.98207494570056
42033,1145.325,41.006862,-78.477724,80562,4.0,70.33985986510379
42035,887.984,41.239508,-77.629009,37450,6.0,42.174183318618354
42037,483.212,41.045517,-76.40426,64727,4.0,133.95155749443308
42039,1012.355,41.687876,-80.107795,83938,4.0,82.91360244183117
42041,545.48,40.164805,-77.263442,259469,2.0,475.67096868812786
42043,524.87,40.412565,-76.792634,286401,2.0,545.6608303008364
42045,183.815,39.916685,-75.398818,576830,1.0,3138.1008078774857
42047,826.901,41.427332,-78.653937,30990,7.0,37.47727962597699
42049,798.913,42.117952,-80.096386,270876,2.0,339.0556919213982
42051,790.758,39.918907,-79.640119,128804,1.0,162.8867491697839
42053,427.259,41.513304,-79.249705,6973,9.0,16.32031156745674
42055,772.299,39.926772,-77.724521,155932,3.0,201.90625651464006
42057,437.551,39.91075,-78.122617,14556,8.0,33.26697916357179
42059,575.932,39.847707,-80.225655,35954,6.0,62.42750880312259
42061,874.652,40.422311,-77.968595,44092,6.0,50.41090628044068
42063,827.404,40.651432,-79.087545,83246,4.0,100.61106787010941
42065,652.435,41.138028,-79.012419,44492,7.0,68.19376642883967
42067,391.391,40.530673,-77.400438,23509,8.0,60.06525443865597
42069,459.013,41.440284,-75.609666,215896,2.0,470.3483343609005
42071,943.924,40.041992,-76.250198,552984,2.0,585.8353002996004
42073,357.365,40.992735,-80.334446,86070,1.0,240.84619366753878
42075,361.835,40.371448,-76.464819,143257,3.0,395.91802893584094
42077,345.332,40.614241,-75.590627,374557,2.0,1084.6287051301356
42079,889.663,41.173078,-75.976053,325594,2.0,365.9745319295059
42081,1228.92,41.343882,-77.055262,114188,3.0,92.91735833089216
42083,979.694,41.81459,-78.572463,40432,7.0,41.27002921320331
42085,672.52,41.300014,-80.252786,110652,4.0,164.53339677630404
42087,411.045,40.601615,-77.651832,46143,4.0,112.25778199467211
42089,608.357,41.05624,-75.329065,168327,4.0,276.6911533852656
42091,482.971,40.209999,-75.370201,856553,1.0,1773.5081402403043
42093,130.241,41.029284,-76.665225,18136,6.0,139.2495450741318
42095,369.788,40.752791,-75.307447,312951,2.0,846.2984196350341
42097,457.664,40.851524,-76.709877,91647,4.0,200.24952803803663
42099,551.449,40.39778,-77.266328,45842,2.0,83.1300809322349
42101,134.356,40.009376,-75.133346,1603797,1.0,11936.921313525261
42103,544.895,41.325949,-75.031514,58535,6.0,107.42436616228815
42105,1081.249,41.748587,-77.894436,16396,9.0,15.16394466029564
42107,778.579,40.703682,-76.217788,143049,4.0,183.73087380985103
42109,328.784,40.755407,-77.072929,39736,7.0,120.85746265025062
42111,1075.047,39.981297,-79.028486,74129,6.0,68.95419456079594
42113,449.939,41.439285,-76.511717,5840,8.0,12.979537226157323
42115,823.498,41.819665,-75.800969,38434,8.0,46.67163733245253
42117,1133.805,41.766859,-77.257288,41045,8.0,36.20111042022217
42119,315.952,40.962179,-77.055475,42681,6.0,135.08697523674482
42121,674.265,41.400714,-79.765813,50454,4.0,74.82814620364397
42123,884.282,41.834298,-79.298182,38587,6.0,43.63653223745366
42125,857.01,40.200005,-80.252132,209349,1.0,244.2783631462877
42127,725.769,41.646602,-75.292493,51155,6.0,70.4838591893564
42129,1027.712,40.311068,-79.466688,354663,1.0,345.0995998879063
42131,397.376,41.525173,-76.008731,26069,2.0,65.60285472700919
42133,904.366,39.921751,-76.728889,456438,2.0,504.7049535254532
54001,341.059,39.139725,-79.996947,15465,9.0,45.344060705039304
54003,321.147,39.447938,-78.037754,122076,2.0,380.12498949079395
54005,501.534,38.022814,-81.713538,21809,3.0,43.48458928008869
54007,510.735,38.69933,-80.73166,12447,8.0,24.370759787365266
54009,89.196,40.272645,-80.578691,22559,3.0,252.9149289205794
54011,281.023,38.419578,-82.243397,94350,2.0,335.7376442497589
54013,279.25,38.844159,-81.115478,6229,8.0,22.30617726051925
54015,341.939,38.459826,-81.081866,8051,3.0,23.54513524342061
54017,319.723,39.264307,-80.711498,7808,9.0,24.421139548922035
54019,661.613,38.030933,-81.086051,40488,3.0,61.195895485729565
54021,338.503,38.915867,-80.849413,7408,9.0,21.884591864769295
54023,477.372,39.105988,-79.195064,10976,9.0,22.992550882749722
54025,1019.813,37.924418,-80.45059,32977,6.0,32.3363204822845
54027,640.402,39.312139,-78.611989,23093,3.0,36.06016221061146
54029,82.609,40.516958,-80.570164,29095,3.0,352.2013339950853
54031,582.315,39.011361,-78.841729,14299,8.0,24.555438207842833
54033,416.008,39.279182,-80.386498,65921,5.0,158.4608949827888
