fipsCode,state,eia_n_utilities,eia_n_coops,eia_customers,eia_cust_residential,eia_sales_mwh,eia_dist_circuits,eia_ami_meters,eia_all_meters,eia_coop_share,eia_muni_share,eia_iou_share,eia_saidi_with_med,eia_saidi_no_med,eia_saifi_with_med,eia_saifi_no_med,eia_ami_share,eia_cust_per_circuit,eia_mwh_per_customer,population,land_sqmi,eia_cust_per_capita,eia_circuits_per_1ksqmi,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi,eia_cust_per_tl_km
39131,OH,6,3,15571.567870591756,12970.559093038548,519338.12253061903,19.124606053693118,13987.702606859528,15715.559037694791,0.22713889144794902,0.0,0.772861108552051,521.7648631247888,233.93481479871934,1.495123873111092,1.177425453229047,0.8900544087110813,814.2163988567366,33.351691162161885,27088,440.282,0.5748511470242084,43.43717447838685,1287.3616721617188,33,765.0,2923.9479973328885,12.095721200433292
39133,OH,2,0,65797.80465212083,58661.43437267647,1490317.3629805455,85.04243568178703,22818.1893534852,67204.30506278729,0.0,0.0,1.0,1250.3168633834912,135.73598819160037,1.5827914090010584,1.07950861897642,0.3395346374338183,773.705552111936,22.649955737277153,161791,487.405,0.40668396049298683,174.48002314663788,836.5322438802594,30,345.0,1716.2980352689435,78.6554315550556
39135,OH,5,2,16998.089486886398,13589.502214123713,430139.21721783665,16.40348371029087,15234.890587698254,16894.669147472552,0.10921663724392808,0.01623711889579868,0.8745462438602732,422.80265924130106,103.98413918198568,1.1855819921320174,0.8551020134367706,0.9017572616967997,1036.248749783712,25.305150767071694,40999,424.226,0.41459766059870723,38.666851419504866,484.3224443234952,29,345.0,1141.6613887962906,35.09663796529075
39137,OH,6,4,25717.371667605905,22549.143585921065,846280.5831033215,35.1598925244492,16408.16073233356,25971.09887713879,0.13739079234752782,0.0,0.8626092076524723,190.97710152861387,119.56720932002088,1.1011831944687915,0.9551812120522842,0.6317853861307708,731.4405654034002,32.906962423742264,34451,482.544,0.7464912968449654,72.86359901780811,481.9301560148659,27,345.0,998.727900491698,53.36327545938548
39139,OH,11,4,74018.581788044,54223.308925849444,1916326.3029969505,77.63249354430769,40916.39242402145,69374.88211154056,0.09257909253680222,0.1424666696168019,0.7649542378463958,253.1771386743584,137.771274563974,1.1961165146592263,1.003352533321494,0.5897868389633627,953.4484647952072,25.8898003272266,124936,495.227,0.5924519897230902,156.7614317157742,602.6853738137787,43,345.0,1216.9881161846563,122.81463099005734
39141,OH,4,2,35247.94422176255,31606.12863520637,838767.3314176966,45.810854693821696,32495.76274654171,35617.43436771099,0.20696787659883,0.0,0.79303212340117,672.3075747827693,223.6887110178675,1.620132557502953,1.1550633758430877,0.9123555169936881,769.4234141088025,23.796205706085704,77093,689.166,0.4572132907237045,66.47288852587286,821.6479542146386,43,765.0,1192.235186028676,42.89908353201443
39143,OH,7,2,53842.528082547666,46439.95621237984,1781216.0511046879,58.80657193866119,26726.3816516077,53401.07161337756,0.04156108563511848,0.07770808966446335,0.8807308247004182,192.79471672373785,118.47991967587413,1.1099507606421624,0.9671814680735694,0.5004839948738491,915.5869200930242,33.081954256937,58896,408.246,0.9141966870848218,144.0469029424935,435.59783165943423,35,345.0,1066.9984069885174,123.6060516587779
39145,OH,5,3,42540.8515566581,35437.283570496045,1132450.0521354862,52.250954105940636,38216.25422801461,42934.25447658431,0.2271534791555609,0.0,0.772846520844439,521.7648631247888,233.93481479871937,1.495123873111092,1.1774254532290465,0.8901110475519535,814.1641101979694,26.620295802664664,74008,610.145,0.5748142303083194,85.63694548990918,1070.5680894015925,59,765.0,1754.6125747184562,39.73670799438534
39147,OH,7,3,47591.15971859393,40826.71836219006,1479748.7822202034,51.24529866357873,25833.93469362654,48154.84547712125,0.06172863814441143,0.0065978640120702885,0.9316734978435184,192.79471672373788,118.47991967587413,1.1099507606421624,0.9671814680735695,0.5364763283458245,928.6931866867646,31.092933876164054,55069,551.026,0.8642096228112719,92.99978342869254,356.9553627379648,21,345.0,647.8013065408253,133.32524087480888
39149,OH,6,3,15818.487778360119,11128.878301824414,490335.0348350325,17.95422176332318,13170.650886457574,15851.051815034807,0.25861849280894794,0.1001557971252365,0.6412257100658155,454.87794652047745,103.44374426133342,1.3227002384680944,0.8974502724234679,0.8309007528424796,881.0455828653108,30.997592292343942,48230,407.694,0.32798025665270825,44.0384743541067,386.62089803907617,15,765.0,948.3114738972764,40.914725144426434
39151,OH,7,2,192158.7014975985,161364.48258689986,5396466.67803245,218.77796396914647,110190.1222003157,193250.5750722323,0.0791900411808411,0.03673405660836209,0.8840759022107969,254.63906908097366,144.0923452311197,1.198256714979996,1.0278006883267243,0.5701929847252943,878.3274970266109,28.083384389959008,374853,575.265,0.5126241526614392,380.30814314993347,1654.350751497178,88,765.0,2875.8063701027836,116.15354320944091
39153,OH,6,0,421685.3299647625,367220.17575752735,10749034.561697917,508.7210463811366,211127.47388588433,427270.2129049432,0.0,0.10461449374019473,0.8953855062598053,772.4842495575567,136.30266664097368,1.3276577743296747,0.9912317625494563,0.4941310381794737,828.912687934742,25.490653332891956,540428,412.793,0.7802803147963512,1232.3877739717886,998.263764884368,72,345.0,2418.31563249466,422.4187482289389
39155,OH,5,0,101776.80628849201,85113.88885840421,2186489.6266586008,145.16546057382857,31097.820787614146,99374.65632616518,0.0,0.1929319725787098,0.8070680274212902,1250.3168633834912,135.73598819160037,1.5827914090010586,1.0795086189764203,0.31293512790168154,701.1089682502687,21.483181742418548,201977,618.101,0.5039029507740584,234.85718446310324,736.4684057836871,54,345.0,1191.5017218604842,138.1957535302411
39157,OH,8,4,57834.97274833289,47608.94281534148,1527870.9136140256,72.28021786316621,32350.330152801347,58060.629651681855,0.14709362039608995,0.12209136157534539,0.7308150180285647,250.0654642136018,146.4581895932007,1.2369554752412828,1.001895154532343,0.5571818691405502,800.1493971396206,26.417768367636466,93263,567.389,0.6201277328451035,127.39093966073753,931.1195494545292,50,138.0,1641.0602769079578,62.11336963359208
39159,OH,7,4,45842.140169144615,39739.778115204885,1287555.392251944,51.13783791718087,32077.603383724305,46214.57729908645,0.09127959113796215,0.0,0.9087204088620379,328.8716349731042,126.9326402158738,1.2420874377689974,0.9448180665217853,0.6941014125505893,896.4426740799488,28.086720809744623,62784,431.759,0.7301564119703207,118.44069936511079,969.4663668137288,32,765.0,2245.3877436572925,47.28595208497071
39161,OH,5,2,17108.8474705846,14839.98057674711,484326.7299617608,25.207589680807473,13806.470773320296,16783.784462436244,0.12686236033836037,0.02378886133035898,0.8493487783312806,364.16596039166285,133.60973481702334,1.2193472065001316,0.9443362060533285,0.8226077261788324,678.7181038419915,28.30855385171142,28931,409.15,0.5913673039502471,61.60965338092991,257.2658922244108,16,345.0,628.7813570192125,66.50258735293484
39163,OH,2,2,1211.2443383532627,1085.9009901069312,20274.91837697516,2.83349101592141,1211.1305166065658,1211.2443383532627,1.0,0.0,0.0,1614.6996597060536,679.3721002435967,3.346017315298966,2.363193389555325,0.9999060290784503,427.47421168702164,16.73891694267051,12800,412.36,0.09462846393384865,6.871401241442938,367.681234157378,11,765.0,891.6510674104618,3.2942783743888753
39165,OH,3,0,97691.7191697733,87499.97350434799,2590140.911404825,110.35825237060617,89042.56462345057,98853.18822012426,0.0,0.10056123572692366,0.8994387642730763,426.35929225468635,104.76310802347535,1.1697060324797925,0.8397620201792795,0.9007556177669496,885.2235068176326,26.513413147163014,242337,401.427,0.40312341561450915,274.9148721202265,731.8698759619399,91,345.0,1823.170529042491,133.48236124812667
39167,OH,2,1,20579.13030721092,15242.772309867221,586412.0339163753,19.34893500661146,13778.672543096356,20677.20664424149,0.15199512407117682,0.0,0.8480048759288232,272.2,158.1,1.13,0.991,0.6663701137277968,1063.5794838413126,28.495472119679263,59771,631.974,0.3442995818576052,30.61666303773804,1393.146469733313,87,765.0,2204.436368795731,14.771691817264795
