fipsCode,tl_km,tl_segments,tl_max_kv,tl_km_per_1ksqmi
39033,362.8115110272771,30,345.0,902.9968964256522
39035,655.2602362304283,134,345.0,1433.1681351289192
39037,230.7172216611098,18,138.0,385.7489552971062
39039,250.1270040872021,21,138.0,607.9159170912677
39041,1028.0480492686893,58,765.0,2319.8804217758197
39043,465.9928581231665,20,345.0,1854.4174736683267
39045,865.3238496494535,73,345.0,1715.66990106263
39047,138.0935012868322,14,69.0,339.82961279953594
39049,1382.342547508939,139,345.0,2596.353135810726
39051,145.43761472908906,7,345.0,358.7093127562642
39053,1025.4560610700555,38,765.0,2198.049559664021
39055,481.558796859513,27,345.0,1202.9917408637823
39057,703.6502801182845,54,345.0,1701.4507727271912
39059,597.7646318049647,32,765.0,1144.5860286469124
39061,1238.3989614192433,163,345.0,3054.7054229928035
39063,451.45017261169056,30,345.0,849.6686069951357
39065,208.45022832233232,6,345.0,443.2423494738984
39067,1198.6106841171577,42,765.0,2979.165622627035
39069,322.4006320823087,13,345.0,774.9828900322317
39071,774.7824301805547,21,345.0,1400.8404332444163
39073,482.7550083668946,14,765.0,1145.7366894590816
39075,349.71367075016843,20,138.0,827.5053021451554
39077,45.860241127280545,4,69.0,93.16585736573307
39079,636.8975126403608,23,345.0,1515.3042103218118
39081,1756.8537918740572,74,765.0,4304.705902799289
39083,536.8505611758465,20,345.0,1021.6014895857963
39085,418.2687192402626,31,345.0,1824.3499770587632
39087,510.14905063077543,41,765.0,1125.1806945205935
39089,1233.9700442430026,71,765.0,1808.208122250442
39091,414.2609008871361,14,765.0,903.5015918813192
39093,756.634137638889,75,345.0,1542.4640345232335
39095,653.5496974296555,82,345.0,1924.1121271073253
39097,559.6674554436007,21,765.0,1201.482685027931
39099,1189.3450107696915,49,345.0,2890.3516281633765
39101,280.6750825243807,27,138.0,695.0740764733083
39103,88.97770940526104,7,345.0,211.11880520778115
39105,1730.117434634033,61,765.0,4022.574725609352
39107,204.8670615930093,4,765.0,443.0065750086157
39109,579.0731264358615,39,345.0,1424.4605480057892
39111,557.3591174195941,18,765.0,1223.0216983114613
39113,768.8100477336143,99,345.0,1666.431952534219
39115,709.7818290078335,34,345.0,1704.460886226685
39117,167.1558647858244,9,345.0,411.57811162282496
39119,1474.6407382586665,62,765.0,2219.0198094017064
39121,459.555818373579,32,345.0,1154.6280473291731
39123,279.58594449353706,12,345.0,1097.6896495286178
39125,282.93186925016784,25,138.0,679.4142405181309
39127,656.059376824787,40,345.0,1608.2488265866218
39129,760.2316695773096,55,765.0,1516.738230061588
39131,1287.3616721617188,33,765.0,2923.9479973328885
39133,836.5322438802594,30,345.0,1716.2980352689435
39135,484.3224443234952,29,345.0,1141.6613887962906
39137,481.9301560148659,27,345.0,998.727900491698
39139,602.6853738137787,43,345.0,1216.9881161846563
39141,821.6479542146386,43,765.0,1192.235186028676
39143,435.59783165943423,35,345.0,1066.9984069885174
39145,1070.5680894015925,59,765.0,1754.6125747184562
39147,356.9553627379648,21,345.0,647.8013065408253
39149,386.62089803907617,15,765.0,948.3114738972764
39151,1654.350751497178,88,765.0,2875.8063701027836
39153,998.263764884368,72,345.0,2418.31563249466
39155,736.4684057836871,54,345.0,1191.5017218604842
39157,931.1195494545292,50,138.0,1641.0602769079578
39159,969.4663668137288,32,765.0,2245.3877436572925
39161,257.2658922244108,16,345.0,628.7813570192125
39163,367.681234157378,11,765.0,891.6510674104618
39165,731.8698759619399,91,345.0,1823.170529042491
39167,1393.146469733313,87,765.0,2204.436368795731
39169,688.4939998143459,22,345.0,1241.001533581859
39171,70.13367122912643,7,138.0,166.72293830914856
39173,571.027124132717,42,345.0,925.2467328395412
39175,152.98924021482858,12,345.0,376.00672488584706
42001,488.5378496874948,29,500.0,941.868649265447
42003,1414.6854662621877,155,345.0,1938.047419785613
42005,798.1396354586495,38,500.0,1221.6653612215885
42007,1040.0703184780054,52,500.0,2392.643850235235
42009,333.13841430086916,10,500.0,329.10978146594454
42011,851.2752441784147,48,500.0,994.0124499545362
42013,574.5819158444006,16,500.0,1093.86668312354
42015,339.6302546951876,24,345.0,295.98078448416925
42017,684.9708415519842,76,500.0,1133.3690316512718
42019,500.9475208115429,43,500.0,634.5236277926941
42021,1484.319500120352,44,500.0,2158.9787786655493
42023,26.8084453932849,1,,67.65828538583334
42025,451.3289434171239,33,500.0,1183.58389038488
42027,179.81409986997028,8,230.0,162.18346027084704
42029,662.648336925865,56,500.0,882.8883731654888
42031,391.9034232939187,17,345.0,652.2646372030902
42033,673.2233671923092,19,345.0,587.8011631565793
42035,514.762949283505,27,345.0,579.6984509670276
42037,518.0175629556966,30,500.0,1072.0295914747494
42039,395.0505468964524,16,345.0,390.2292643355862
42041,308.8784937925942,26,500.0,566.250813581789
42043,586.5630263408509,94,500.0,1117.539631415114
42045,259.39713389655645,56,230.0,1411.1858874224436
42047,686.449451564836,21,345.0,830.1470811679221
42049,393.7624832112735,24,345.0,492.87279492419515
42051,587.9989342436833,51,500.0,743.5889794901641
42053,0.0,0,,0.0
42055,416.3438161933415,42,500.0,539.096666178956
42057,84.7416625038868,3,138.0,193.6726518826075
