fipsCode,county_name,fia_forest_acres,fia_forest_se_pct,fia_plots,fia_pct_forest
18079,IN Jennings,135759.4108240658,19.6992459173,22.0,0.5632654519621846
18081,IN Johnson,42274.2123943326,32.0315565301,10.0,0.20614970231151689
18083,IN Knox,29226.8405523331,44.2445121635,6.0,0.08853150060586294
18085,IN Kosciusko,54169.7344789911,31.6416459474,9.0,0.1592645887871979
18087,IN Lagrange,45571.8660343181,34.2015263022,7.0,0.18756694855154238
18089,IN Lake,29849.6996347412,40.761201291,6.0,0.09351803420150648
18091,IN La Porte,55825.4360315547,31.6994006778,8.0,0.1457949843458143
18093,IN Lawrence,121995.0942096214,20.1266757145,25.0,0.42439949304353913
18095,IN Madison,17419.6738081335,54.3578680721,4.0,0.06022787240515177
18097,IN Marion,20571.5919575185,50.1186239696,4.0,0.08104422567552835
18099,IN Marshall,35130.7101412069,37.062077566,9.0,0.12373593299588789
18101,IN Martin,144748.2818461078,17.6088673997,28.0,0.6736017297558187
18103,IN Miami,21898.3729230119,51.8893743451,5.0,0.09152585234458967
18105,IN Monroe,163278.5622311109,18.3788431706,30.0,0.6466629325769179
18107,IN Montgomery,31607.1704289863,42.5865537696,6.0,0.09786287007609495
18109,IN Morgan,111882.8363507948,21.1796866545,24.0,0.4328930496147349
18111,IN Newton,19328.5857274854,54.8125456305,4.0,0.07517246879116858
18113,IN Noble,34687.8680039525,38.0627470132,10.0,0.13192272938985694
18115,IN Ohio,10465.7242696476,77.2865944531,2.0,0.18981653129801945
18117,IN Orange,122994.5831853022,19.9963629501,28.0,0.482402526807474
18119,IN Owen,126405.4469531574,21.0804705953,20.0,0.5126163351829337
18121,IN Parke,85881.0604502351,26.4814612204,12.0,0.30173784677020504
18123,IN Perry,155544.4611231796,17.2804760309,37.0,0.6366590362680571
18125,IN Pike,94604.813315249,24.3954543877,18.0,0.44217377889243165
18127,IN Porter,25102.8680543993,42.7740582855,6.0,0.09381214084294555
18129,IN Posey,48239.882766476,33.7081872724,8.0,0.18411719242917732
18131,IN Pulaski,31004.517819604,41.1886813515,9.0,0.11170705964865683
18133,IN Putnam,93241.3804686505,23.3331658899,15.0,0.3031809350419768
18135,IN Randolph,19107.7299140093,54.7770428609,4.0,0.06599737828378313
18137,IN Ripley,83171.0407004935,25.8494113083,16.0,0.29110227540812433
18139,IN Rush,22537.4786997358,53.1733414535,3.0,0.08628183788369392
18141,IN St. Joseph,32475.4438322208,36.7040687884,9.0,0.11084628757636361
18143,IN Scott,26703.6771034669,44.1158158787,6.0,0.21913780494092547
18145,IN Shelby,14659.5557753522,58.6049562448,4.0,0.05571257314815904
18147,IN Spencer,75290.2929823257,27.8788008235,12.0,0.29641324823217957
18149,IN Starke,20740.0283750592,44.0956859798,7.0,0.10482588805226689
18151,IN Steuben,25187.3983388056,45.8898506216,5.0,0.1274554448821763
18153,IN Sullivan,85857.9067391104,24.6050534206,15.0,0.3000030844504128
18155,IN Switzerland,64133.2066087011,29.5848985332,13.0,0.4541126730024084
18157,IN Tippecanoe,31187.3690270373,39.356005759,7.0,0.0976740436689519
18159,,0.0,,,0.0
18161,IN Union,33502.1922355452,45.1184196912,4.0,0.3247544845712474
18163,IN Vanderburgh,13446.0693214558,58.4663082522,3.0,0.09001453856142298
18165,IN Vermillion,17976.2906832144,59.0041697284,3.0,0.10934951644653397
18167,IN Vigo,45023.4862110283,36.6336320237,7.0,0.1742999360886294
18169,IN Wabash,45098.7525924614,34.1881708508,11.0,0.17081287281588833
