fipsCode,hour,u_mean,u_max,u_p90,u_p95,u_f40,u_f50,u_f60,u_f70
18061,0,17.738616999999998,20.780801,19.557216699999998,20.189140949999995,0.0,0.0,0.0,0.0
18063,0,30.687393770949722,34.202201,33.7816638,34.0031169,0.0,0.0,0.0,0.0
18065,0,21.732079124260355,25.992778,24.538793000000002,25.0890704,0.0,0.0,0.0,0.0
18067,0,28.184939999999997,31.652134999999998,29.829061499999998,30.27979685,0.0,0.0,0.0,0.0
18069,0,25.160198494047624,28.430999,27.0195151,27.49038255,0.0,0.0,0.0,0.0
18071,0,17.724419324200912,28.945486,23.496397599999998,23.890092,0.0,0.0,0.0,0.0
18073,0,25.091253181451613,38.139145,34.4124696,35.998431700000005,0.0,0.0,0.0,0.0
18075,0,29.961301764705883,35.656186,33.6899509,34.31069065,0.0,0.0,0.0,0.0
18077,0,21.25157341830065,27.223073,26.543055400000004,26.9635926,0.0,0.0,0.0,0.0
18079,0,12.850990499999998,15.479348,14.4033991,14.917886099999999,0.0,0.0,0.0,0.0
18081,0,18.424331453237407,24.471686,23.2369172,24.1383879,0.0,0.0,0.0,0.0
18083,0,23.939086048672568,26.842799999999997,25.523028999999998,25.94804,0.0,0.0,0.0,0.0
18085,0,23.87276519262295,31.831087,27.0150413,28.928709249999997,0.0,0.0,0.0,0.0
18087,0,22.049254882352937,37.60228899999999,28.084279499999997,31.781875199999984,0.0,0.0,0.0,0.0
18089,0,14.289657597826086,28.520474999999998,21.407133,22.5591365,0.0,0.0,0.0,0.0
18091,0,29.105428446886446,36.349624999999996,33.016644,34.144041599999994,0.0,0.0,0.0,0.0
18093,0,19.246728025906734,24.136151,22.6329542,23.169810199999997,0.0,0.0,0.0,0.0
18095,0,21.639268438775506,26.261205999999998,24.6059,25.2657855,0.0,0.0,0.0,0.0
18097,0,23.73721586285714,30.041566999999997,26.6056886,27.549660399999997,0.0,0.0,0.0,0.0
18099,0,29.858999808080803,37.57992,33.8733767,35.18755545,0.0,0.0,0.0,0.0
18101,0,17.958865615384614,23.644033,20.736062999999998,22.105045800000003,0.0,0.0,0.0,0.0
18103,0,22.847976212499997,27.424394,25.977119699999996,26.4871329,0.0,0.0,0.0,0.0
18105,0,25.12594765536723,31.115278999999997,29.7462962,30.336837799999998,0.0,0.0,0.0,0.0
18107,0,32.25815965898617,36.394363,34.7793212,35.226701199999994,0.0,0.0,0.0,0.0
18109,0,24.23495806857143,30.377101999999997,26.757797800000002,27.223073,0.0,0.0,0.0,0.0
18111,0,20.30911249132948,35.387758,32.9584846,33.584816599999996,0.0,0.0,0.0,0.0
